평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일사량(MJ/m2),평균 지면온도(°C),최저 초상온도(°C),
21.1,16.9,27.5,13.3,2.4,42,75.8,18.42,22.9,12.1,13.3
20.7,16.4,26.6,0,1.6,50,77.1,16.92,23.2,13.6,0
22.3,17.1,28.8,0,1.9,40,69.5,17.47,22.9,12.2,0
22.9,19.2,25.6,3.6,2.9,71,81,2.97,21.7,13.5,3.6
23.6,21.7,26.5,0,3.3,65,82.4,8.11,23.2,20.8,0
18.8,17.9,21.7,6.4,2.8,83,91.5,3.26,20.2,16.4,6.4
19.4,17.9,21.9,4.6,1.9,74,85.5,4.86,20.6,15.2,11
18.8,17.5,20,3.5,1.7,85,91.3,2.8,19.8,15.1,14.5
20.9,18.5,24.1,0.4,2.3,72,83.5,7.05,20.5,16.4,14.9
19.9,14.9,24.3,14.2,2.2,80,89,3.12,20.6,14.3,29.1
15.2,12.6,17.8,0.3,2.2,67,78.6,8.47,18,12.3,29.4
17.9,15.8,21.3,0,3.3,53,67.1,11.55,18.2,13.1,0
19.6,14.9,25.2,0,2.4,52,66.6,17.28,19.3,11,0
19.7,17.4,23.9,0,2,54,73.6,12.85,20.9,13.8,0
19,17,21.4,0,2.1,58,74.4,7.21,20.1,15.9,0
10.7,4.2,18.1,0,3.4,31,47.5,8.78,13.8,1,0
5.6,1.3,10.8,0,2.9,25,37.4,18.7,10.5,-1.3,0
9.6,2.8,16.1,5.6,2,36,60.4,12.08,11.7,-3.1,5.6
10.9,7.1,15,4.4,2.4,47,72.8,13.34,13.9,4.1,10
9.5,4.6,15.8,0,1.7,35,64.9,16.7,12.7,-0.1,0
9.8,4.9,16.2,0,1.7,40,64.1,5.13,12.2,0.5,0
10.8,5.2,17.2,0,1.8,33,58.4,16.45,12.5,-0.6,0
11.4,5.7,18.4,0,1.6,30,57.3,16.25,12.5,0,0
11.4,6,18.1,0,1.7,38,63.1,15.97,12.4,0.4,0
11.7,6.3,17.6,0,1.9,35,64.5,11.74,12.7,0.3,0
13,7.7,19,0,1.7,48,74.5,13.08,12.9,1.3,0
13.4,9.8,18.1,0,2.2,32,63.4,14.72,13.9,3.8,0
12.7,7.1,20,0,1.4,31,54.6,15.58,12.7,-0.2,0
14.6,10.5,20.6,0,2,36,55.9,14.16,13.9,6.1,0
13.8,11,18,0,1.6,48,62.4,6.35,12.9,5,0
14.1,9.2,20.3,0.7,1.6,46,73.3,12.25,14,2.8,0.7
